,City,Cuisines,Cost,Tablebooking,Onlinedelivery,deliverynow,Price_range,rating,rating_color,rating_text,Votes
222,33,1111,10,0,0,0,1,4.3,1,5,116
223,33,1795,25,0,0,0,2,4.2,1,5,111
224,33,785,10,0,0,0,1,3.7,5,2,25
225,33,168,10,0,0,0,1,4.1,1,5,128
226,33,50,10,0,0,0,1,4.3,1,5,244
227,33,15,10,0,0,0,1,4.2,1,5,112
228,33,1098,10,0,0,0,1,4.1,1,5,144
229,34,1005,25,0,0,0,2,4.6,0,1,166
230,34,1785,40,0,0,0,3,4.5,0,1,208
231,34,321,25,0,0,0,2,3.9,5,2,136
232,34,25,10,0,0,0,1,4.0,1,5,85
233,34,1031,25,0,0,0,2,4.1,1,5,117
234,34,21,25,0,0,0,2,3.4,2,0,53
235,34,115,25,0,0,0,2,4.9,0,1,474
236,34,828,10,0,0,0,1,3.9,5,2,125
237,34,61,70,0,0,0,4,3.7,5,2,201
238,34,19,25,0,0,0,2,0.0,4,3,2
239,34,1212,25,0,0,0,2,0.0,4,3,3
240,34,1212,0,0,0,0,1,4.3,1,5,167
241,34,497,25,0,0,0,2,4.0,1,5,112
242,34,1795,25,0,0,0,2,4.1,1,5,256
243,34,6,10,0,0,0,1,4.3,1,5,123
244,34,6,25,0,0,0,2,4.0,1,5,199
245,34,1212,25,0,0,0,2,4.1,1,5,157
246,34,6,25,0,0,0,2,4.1,1,5,100
247,34,1126,40,0,0,0,3,4.2,1,5,141
248,34,16,25,0,0,0,2,4.2,1,5,197
249,36,170,25,0,0,0,2,4.5,0,1,1025
250,36,41,25,0,0,0,2,4.9,0,1,570
251,36,172,40,0,0,0,3,4.5,0,1,674
252,36,151,25,0,0,0,2,4.1,1,5,496
253,36,121,25,0,0,0,2,4.0,1,5,411
254,36,1167,25,0,0,0,2,3.2,2,0,113
255,36,1098,40,0,0,0,3,4.5,0,1,1109
256,36,574,25,0,0,0,2,4.6,0,1,728
257,36,158,10,0,0,0,1,4.4,1,5,659
258,36,90,40,0,0,0,3,4.2,1,5,370
259,36,916,40,0,0,0,3,4.3,1,5,532
260,36,1126,25,0,0,0,2,4.8,0,1,860
261,36,309,10,0,0,0,1,4.2,1,5,943
262,36,69,70,0,0,0,4,4.1,1,5,476
263,36,497,10,0,0,0,1,4.1,1,5,218
264,36,279,10,0,0,0,1,4.0,1,5,214
265,36,11,25,0,0,0,2,4.3,1,5,699
266,36,21,25,0,0,0,2,3.8,5,2,308
267,36,1165,25,0,0,0,2,4.0,1,5,157
268,36,1693,40,0,0,0,3,4.2,1,5,530
269,37,620,7,0,0,0,1,3.6,5,2,29
270,40,268,10,0,0,0,1,3.4,2,0,33
271,40,1667,25,0,0,0,2,3.3,2,0,40
272,40,1212,10,0,0,0,1,3.4,2,0,153
273,40,14,25,0,0,0,2,3.3,2,0,65
274,40,1031,25,0,0,0,2,3.4,2,0,58
275,40,35,25,0,0,0,2,3.5,5,2,100
276,40,1212,10,0,0,0,1,3.6,5,2,156
277,40,784,0,0,0,0,1,3.5,5,2,74
278,40,29,25,0,0,0,2,3.6,5,2,117
